TC3
Numero Original			Numero Binario			Numero Hexadecimal
	-39			11011001			FFFFFFD9
	-36			11011100			FFFFFFDC
	8			00001000			8
	34			00100010			22
	17			00010001			11
	49			00110001			31
	5			00000101			5
	39			00100111			27
	0			00000000			0
	33			00100001			21
	12			00001100			C
	-6			11111010			FFFFFFFA
	27			00011011			1B
	-4			11111100			FFFFFFFC
	-38			11011010			FFFFFFDA
	26			00011010			1A
	49			00110001			31
	29			00011101			1D
	42			00101010			2A
	-16			11110000			FFFFFFF0
	-28			11100100			FFFFFFE4
	34			00100010			22
	20			00010100			14
	0			00000000			0
	25			00011001			19
	45			00101101			2D
	3			00000011			3
	-46			11010010			FFFFFFD2
	-46			11010010			FFFFFFD2
	29			00011101			1D
	33			00100001			21
	29			00011101			1D
	26			00011010			1A
	-5			11111011			FFFFFFFB
	-36			11011100			FFFFFFDC
	12			00001100			C
	45			00101101			2D
	-50			11001110			FFFFFFCE
	0			00000000			0
	-6			11111010			FFFFFFFA
	-39			11011001			FFFFFFD9
	35			00100011			23
	26			00011010			1A
	-35			11011101			FFFFFFDD
	-42			11010110			FFFFFFD6
	14			00001110			E
	-3			11111101			FFFFFFFD
	22			00010110			16
	-47			11010001			FFFFFFD1
	12			00001100			C
	-17			11101111			FFFFFFEF
	-31			11100001			FFFFFFE1
	-25			11100111			FFFFFFE7
	-35			11011101			FFFFFFDD
	-18			11101110			FFFFFFEE
	14			00001110			E
	37			00100101			25
	-8			11111000			FFFFFFF8
	-41			11010111			FFFFFFD7
	-50			11001110			FFFFFFCE
	-9			11110111			FFFFFFF7
	2			00000010			2
	12			00001100			C
	-39			11011001			FFFFFFD9
	-17			11101111			FFFFFFEF
	0			00000000			0
	27			00011011			1B
	28			00011100			1C
	45			00101101			2D
	-44			11010100			FFFFFFD4
	28			00011100			1C
	35			00100011			23
	-33			11011111			FFFFFFDF
	43			00101011			2B
	-4			11111100			FFFFFFFC
	23			00010111			17
	-49			11001111			FFFFFFCF
	49			00110001			31
	-7			11111001			FFFFFFF9
	-38			11011010			FFFFFFDA
	-45			11010011			FFFFFFD3
	5			00000101			5
	-21			11101011			FFFFFFEB
	26			00011010			1A
	-2			11111110			FFFFFFFE
	-24			11101000			FFFFFFE8
	6			00000110			6
	-45			11010011			FFFFFFD3
	-4			11111100			FFFFFFFC
	15			00001111			F
	0			00000000			0
	-17			11101111			FFFFFFEF
	-35			11011101			FFFFFFDD
	43			00101011			2B
	45			00101101			2D
	-35			11011101			FFFFFFDD
	-8			11111000			FFFFFFF8
	28			00011100			1C
	47			00101111			2F
	34			00100010			22
	-24			11101000			FFFFFFE8
	-42			11010110			FFFFFFD6
	-13			11110011			FFFFFFF3
	14			00001110			E
	-45			11010011			FFFFFFD3
	-35			11011101			FFFFFFDD
	27			00011011			1B
	-12			11110100			FFFFFFF4
	-19			11101101			FFFFFFED
	-20			11101100			FFFFFFEC
	-14			11110010			FFFFFFF2
	20			00010100			14
	30			00011110			1E
	12			00001100			C
	-36			11011100			FFFFFFDC
	-47			11010001			FFFFFFD1
	-27			11100101			FFFFFFE5
	-3			11111101			FFFFFFFD
	6			00000110			6
	36			00100100			24
	9			00001001			9
	-16			11110000			FFFFFFF0
	36			00100100			24
	-27			11100101			FFFFFFE5
	7			00000111			7
	-6			11111010			FFFFFFFA
	-5			11111011			FFFFFFFB
	5			00000101			5
	47			00101111			2F
	23			00010111			17
	-48			11010000			FFFFFFD0
	-24			11101000			FFFFFFE8
	40			00101000			28
	-4			11111100			FFFFFFFC
	-18			11101110			FFFFFFEE
	-19			11101101			FFFFFFED
	14			00001110			E
	15			00001111			F
	1			00000001			1
	24			00011000			18
	-9			11110111			FFFFFFF7
	-50			11001110			FFFFFFCE
	18			00010010			12
	15			00001111			F
	30			00011110			1E
	44			00101100			2C
	9			00001001			9
	19			00010011			13
	33			00100001			21
	41			00101001			29
	-24			11101000			FFFFFFE8
	43			00101011			2B
	48			00110000			30
	-23			11101001			FFFFFFE9
	7			00000111			7
	28			00011100			1C
	8			00001000			8
	-2			11111110			FFFFFFFE
	37			00100101			25
	42			00101010			2A
	-17			11101111			FFFFFFEF
	-6			11111010			FFFFFFFA
	36			00100100			24
	22			00010110			16
	27			00011011			1B
	31			00011111			1F
	-47			11010001			FFFFFFD1
	-43			11010101			FFFFFFD5
	0			00000000			0
	27			00011011			1B
	30			00011110			1E
	12			00001100			C
	-15			11110001			FFFFFFF1
	-19			11101101			FFFFFFED
	-42			11010110			FFFFFFD6
	-37			11011011			FFFFFFDB
	31			00011111			1F
	-10			11110110			FFFFFFF6
	18			00010010			12
	33			00100001			21
	-15			11110001			FFFFFFF1
	17			00010001			11
	25			00011001			19
	-25			11100111			FFFFFFE7
	-5			11111011			FFFFFFFB
	33			00100001			21
	-13			11110011			FFFFFFF3
	33			00100001			21
	-10			11110110			FFFFFFF6
	47			00101111			2F
	47			00101111			2F
	-13			11110011			FFFFFFF3
	-32			11100000			FFFFFFE0
	1			00000001			1
	1			00000001			1
	-25			11100111			FFFFFFE7
	-33			11011111			FFFFFFDF
	16			00010000			10
	17			00010001			11
Tiempo de ultima ejecucion: 0.05079
